               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095506,            0.022203,            0.027108,           0.0055508,            0.013393,          0.00078258,          0.00015854,             0.11861,           0.0096711,            0.043876,            0.070133,           0.0033186,           0.0033186
                   1,            0.090798,            0.022446,            0.026267,           0.0010573,             0.28571,           0.0008371,          0.00020739,            0.088635,            0.011478,            0.025692,            0.039803,           0.0063226,           0.0063226
                   2,            0.088159,             0.02248,            0.025937,           0.0011513,             0.32696,           0.0012192,          0.00029907,            0.088422,            0.011144,            0.025332,           0.0091442,           0.0089967,           0.0089967
                   3,            0.084641,            0.023648,            0.025755,          0.00086499,             0.24625,          0.00077676,            0.000173,             0.09282,             0.01051,            0.026176,            0.008515,            0.008515,            0.008515
                   4,            0.081954,            0.024588,            0.025445,            0.001138,             0.31732,          0.00099203,          0.00022152,            0.088618,            0.011384,            0.024436,            0.008515,            0.008515,            0.008515
                   5,             0.08003,             0.02491,            0.025029,           0.0012916,             0.37107,           0.0011805,           0.0002928,            0.083793,            0.011599,            0.024011,             0.00802,             0.00802,             0.00802
                   6,            0.079185,            0.025189,            0.024597,           0.0014139,             0.38768,           0.0012873,          0.00032396,            0.083191,            0.012277,            0.022885,            0.007525,            0.007525,            0.007525
                   7,            0.078176,            0.024933,            0.023982,           0.0011405,             0.30643,           0.0010414,          0.00026859,            0.086891,            0.011327,            0.025786,             0.00703,             0.00703,             0.00703
                   8,            0.076964,            0.025476,            0.023395,           0.0015649,             0.41875,           0.0020141,           0.0005043,            0.080715,            0.012392,            0.020916,            0.006535,            0.006535,            0.006535
                   9,            0.076403,            0.025273,            0.022411,           0.0019163,             0.47661,           0.0033792,          0.00078192,            0.078675,            0.012243,            0.020202,             0.00604,             0.00604,             0.00604
                  10,            0.075587,            0.025145,            0.021631,            0.004406,             0.33357,           0.0045648,           0.0010741,            0.079769,            0.012127,            0.021219,            0.005545,            0.005545,            0.005545
                  11,            0.074665,            0.025256,            0.020671,           0.0022235,             0.55339,             0.00441,           0.0010642,             0.07936,             0.01205,            0.021495,             0.00505,             0.00505,             0.00505
                  12,            0.073089,            0.024727,            0.019856,            0.027076,            0.053393,           0.0093835,           0.0023882,             0.07808,            0.012386,            0.017335,            0.004555,            0.004555,            0.004555
                  13,            0.072757,            0.024392,            0.018819,             0.04603,             0.04125,            0.014476,           0.0033747,            0.076743,            0.011829,            0.018331,             0.00406,             0.00406,             0.00406
                  14,            0.071739,            0.024038,            0.018244,             0.03717,            0.018929,            0.012774,           0.0027522,            0.077832,            0.011206,             0.01736,            0.003565,            0.003565,            0.003565
                  15,            0.070946,            0.024275,            0.017172,            0.035361,            0.036786,            0.018856,           0.0038845,            0.074825,             0.01162,            0.016558,             0.00307,             0.00307,             0.00307
                  16,            0.069953,            0.023699,            0.016127,            0.042074,             0.05125,            0.014432,           0.0033764,            0.076981,            0.011126,            0.022935,            0.002575,            0.002575,            0.002575
                  17,            0.068888,            0.023393,            0.016005,            0.057986,            0.068571,            0.028666,            0.006515,            0.074366,            0.011149,            0.018923,             0.00208,             0.00208,             0.00208
                  18,            0.068227,            0.023239,            0.015026,            0.066054,            0.083571,             0.03504,           0.0077286,            0.074696,            0.011192,            0.018394,            0.001585,            0.001585,            0.001585
                  19,            0.067137,            0.023344,            0.014709,            0.085846,             0.11696,            0.036059,           0.0091998,            0.073742,            0.011253,            0.016397,             0.00109,             0.00109,             0.00109
